Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773624022,5,,Aggregated,3.300000,0.000000,100,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,131,0,100.0,536.0320076330402,23.880099994130433,1202.970299986191,672.6793893129772
1773624023,5,,Aggregated,3.300000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,132,0,100.0,539.8845863629972,23.880099994130433,1202.970299986191,677.1969696969697
1773624024,5,,Aggregated,3.300000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,136,0,1000.0,555.3054749993059,23.880099994130433,1202.970299986191,694.5588235294117
1773624025,5,,Aggregated,3.200000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,139,0,1000.0,543.8952294962226,23.207100050058216,1202.970299986191,681.4244604316547
1773624026,5,,Aggregated,3.200000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,142,0,100.0,540.3049204221428,23.207100050058216,1202.970299986191,677.1760563380282
1773624027,5,,Aggregated,3.400000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,146,0,1000.0,547.0855835612308,23.207100050058216,1202.970299986191,685.2602739726027
1773624028,5,,Aggregated,3.100000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,147,0,1000.0,550.4515040812374,23.207100050058216,1202.970299986191,689.2176870748299
1773624029,5,,Aggregated,3.400000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,151,0,1000.0,543.2984754963568,23.207100050058216,1202.970299986191,681.0728476821192
1773624030,5,,Aggregated,3.200000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,156,0,1000.0,546.2996269231483,23.207100050058216,1202.970299986191,684.724358974359
1773624031,5,,Aggregated,3.300000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,159,0,1000.0,542.8679867925082,23.207100050058216,1202.970299986191,680.8553459119497
1773624032,5,,Aggregated,3.300000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,162,0,100.0,539.5647574070249,23.207100050058216,1202.970299986191,677.141975308642
1773624033,5,,Aggregated,3.100000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,166,0,100.0,539.4948614454065,23.207100050058216,1202.970299986191,677.1385542168674
1773624034,5,,Aggregated,3.200000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,170,0,100.0,539.5265723527273,23.207100050058216,1202.970299986191,677.1235294117647
1773624035,5,,Aggregated,3.300000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,175,0,1000.0,542.6197502858538,23.207100050058216,1202.970299986191,680.5028571428571
1773624036,5,,Aggregated,3.300000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,178,0,100.0,539.6722556180791,23.207100050058216,1202.970299986191,677.1179775280899
1773624037,5,,Aggregated,3.500000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,182,0,1000.0,545.1237054942765,23.207100050058216,1202.970299986191,683.6043956043956
1773624038,5,,Aggregated,3.600000,0.000000,100,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,187,0,100.0,536.7068262029325,23.207100050058216,1202.970299986191,673.951871657754
